user,session,session_pitch,session_mass_kg,session_height_m,age_yrs,playing_level,pitch_speed_mph
750,1031,1031_2,110.6784,1.9304,21.4,college,90.4
750,1031,1031_3,110.6784,1.9304,21.4,college,90.4
774,1097,1097_1,101.1528,1.9304,19.41,college,77.6
774,1097,1097_2,101.1528,1.9304,19.41,college,77
774,1097,1097_3,101.1528,1.9304,19.41,college,76.1
653,1170,1170_1,82.1016,1.9304,20.52,college,80.9
653,1170,1170_2,82.1016,1.9304,20.52,college,82.6
738,1250,1250_1,78.4728,1.7526,21.49,college,88.1
738,1250,1250_3,78.4728,1.7526,21.49,college,88.6
789,1313,1313_1,84.3696,1.8288,19.02,college,85.8
789,1313,1313_2,84.3696,1.8288,19.02,college,85.9
789,1313,1313_3,84.3696,1.8288,19.02,college,85.8
894,1346,1346_1,72.1224,1.8288,20.67,college,84.6
894,1346,1346_2,72.1224,1.8288,20.67,college,84.5
894,1346,1346_3,72.1224,1.8288,20.67,college,84.8
905,1370,1370_1,104.328,1.905,23.43,independent,87.8
905,1370,1370_2,104.328,1.905,23.43,independent,86.9
905,1370,1370_3,104.328,1.905,23.43,independent,86.9
906,1371,1371_2,99.3384,1.8034,25.27,milb,87.4
906,1371,1371_3,99.3384,1.8034,25.27,milb,87.8
919,1393,1393_1,88.9056,1.6764,23.05,independent,71.3
919,1393,1393_2,88.9056,1.6764,23.05,independent,69.9
919,1393,1393_3,88.9056,1.6764,23.05,independent,69.5
920,1394,1394_1,94.3488,1.905,18.14,high_school,86.3
920,1394,1394_2,94.3488,1.905,18.14,high_school,86.7
920,1394,1394_3,94.3488,1.905,18.14,high_school,86.8
927,1403,1403_1,70.308,1.778,19.1,college,78.7
927,1403,1403_2,70.308,1.778,19.1,college,78.6
927,1403,1403_3,70.308,1.778,19.1,college,77.9
949,1561,1561_1,118.3896,1.9304,25.88,independent,86
949,1561,1561_2,118.3896,1.9304,25.88,independent,84.6
949,1561,1561_3,118.3896,1.9304,25.88,independent,86
874,1562,1562_1,95.7096,1.8542,20.81,college,91.8
874,1562,1562_2,95.7096,1.8542,20.81,college,90.3
874,1562,1562_3,95.7096,1.8542,20.81,college,90.6
952,1574,1574_1,87.0912,1.9304,21.22,college,89.8
952,1574,1574_2,87.0912,1.9304,21.22,college,88.6
952,1574,1574_3,87.0912,1.9304,21.22,college,89.5
956,1581,1581_1,94.8024,1.7018,21.51,college,82.3
956,1581,1581_2,94.8024,1.7018,21.51,college,82.3
956,1581,1581_3,94.8024,1.7018,21.51,college,83
628,1601,1601_1,103.8744,1.8542,20.87,college,86.3
628,1601,1601_2,103.8744,1.8542,20.87,college,86.1
628,1601,1601_3,103.8744,1.8542,20.87,college,86.2
884,1603,1603_1,91.1736,1.7526,22.5,college,85
884,1603,1603_2,91.1736,1.7526,22.5,college,85.6
884,1603,1603_3,91.1736,1.7526,22.5,college,85.1
625,1612,1612_1,91.1736,1.8034,19.6,college,86.4
625,1612,1612_2,91.1736,1.8034,19.6,college,85.8
625,1612,1612_3,91.1736,1.8034,19.6,college,84.6
830,1615,1615_1,87.5448,1.778,22.83,college,85.4
830,1615,1615_2,87.5448,1.778,22.83,college,84.4
967,1620,1620_1,92.0808,1.8542,18,college,85
967,1620,1620_3,92.0808,1.8542,18,college,84.6
970,1623,1623_1,81.648,1.7526,22.87,college,85.8
970,1623,1623_2,81.648,1.7526,22.87,college,85.7
970,1623,1623_3,81.648,1.7526,22.87,college,85.3
616,1665,1665_1,106.596,2.032,20.59,college,87.1
616,1665,1665_2,106.596,2.032,20.59,college,87.3
616,1665,1665_3,106.596,2.032,20.59,college,87.3
986,1668,1668_1,81.648,1.8542,19.65,college,87.9
986,1668,1668_2,81.648,1.8542,19.65,college,87.6
986,1668,1668_3,81.648,1.8542,19.65,college,87.8
511,1688,1688_1,106.596,1.9812,22.26,independent,93.1
511,1688,1688_2,106.596,1.9812,22.26,independent,91.4
922,1717,1717_1,103.4208,1.9304,20.57,college,72
922,1717,1717_3,103.4208,1.9304,20.57,college,71.4
1000,1718,1718_1,97.524,1.905,25.35,milb,91.2
1000,1718,1718_2,97.524,1.905,25.35,milb,90.8
1000,1718,1718_3,97.524,1.905,25.35,milb,90.8
1003,1729,1729_1,105.6888,2.0066,24.37,independent,90.6
1003,1729,1729_2,105.6888,2.0066,24.37,independent,90.5
